filename,bibcode,arxiv,theme,cited_by_bursts,n_bursts,read
Yu_2019_ApJ_886_20.pdf,2019ApJ...886...20Y,1810.07313,prompt-timeresolved,bn081125496,1,N
Meng_2019_ApJ_882_26.pdf,2019ApJ...882...26M,1904.08526,prompt-photosphere,bn081125496,1,N
Virgili_2012_MNRAS_424_2821.pdf,2012MNRAS.424.2821V,1112.4363,prompt-spectral-temporal,bn081222204,1,N
Ukwatta_2012_MNRAS_419_614.pdf,2012MNRAS.419..614U,1109.0666,prompt-lag,bn081222204,1,N
Ghirlanda_2010_AA_511_A43.pdf,2010A&A...511A..43G,0908.2807,prompt-Ep-Liso,bn081222204,1,N
Daigne_2011_AA_526_A110.pdf,2011A&A...526A.110D,1009.2636,prompt-synchrotron,bn081222204,1,N
Li_2012_2012PASP124297L.pdf,2012PASP..124..297L,1202.2658,method-lag,bn081222204,1,N
Hakkila_2015_ApJ_815_134.pdf,2015ApJ...815..134H,1511.03695,prompt-pulse-shape,bn081222204,1,N
Atteia_2017_2017ApJ837119A.pdf,2017ApJ...837..119A,1702.02961,prompt-Eiso,bn081222204,1,N
Zhang_2026_2026AA707A392Z.pdf,2026A&A...707A.392Z,2602.05587,prompt-central-engine,bn081222204,1,N
Japelj_2014_2014ApJ78584J.pdf,2014ApJ...785...84J,1402.3701,afterglow-reverseshock,bn081222204,1,N
Covino_2013_2013MNRAS4321231C.pdf,2013MNRAS.432.1231C,1303.4743,afterglow-dust,bn081222204,1,N
DelVecchio_2016_2016ApJ82836D.pdf,2016ApJ...828...36D,1603.04183,afterglow-decay,bn081222204,1,N
Bernardini_2012_2012AA539A3B.pdf,2012A&A...539A...3B,1112.1058,afterglow-xray-engine,bn081222204,1,N
Melandri_2012_2012MNRAS4211265M.pdf,2012MNRAS.421.1265M,1112.4480,afterglow-dark,bn081222204,1,N
Tanvir_2019_2019MNRAS4835380T.pdf,2019MNRAS.483.5380T,1805.07318,host-cosmo,bn081222204,1,N
Vielfaure_2021_2021AA653A83V.pdf,2021A&A...653A..83V,2105.09314,host-cosmo,bn081222204,1,N
Barnacka_2012_2012PhRvD86d3001B.pdf,2012PhRvD..86d3001B,1204.2056,exotic-femtolensing,bn081222204,1,N
Sonbas_2013_2013ApJ767L28S.pdf,2013ApJ...767L..28S,1210.6850,lag-mvt-curvature,project37,0,Y
Lu_2012_2012ApJ756112L.pdf,2012ApJ...756..112L,1204.0714,timeres-Ep-evolution,bn081224887,1,N
Basak_2014_2014MNRAS442419B.pdf,2014MNRAS.442..419B,1405.0119,timeres-singlepulse,bn081224887,1,N
Bissaldi_2011_2011ApJ73397B.pdf,2011ApJ...733...97B,1101.3325,broadband-spectroscopy,bn081224887,1,N
Li_2019_2019ApJS2457L.pdf,2019ApJS..245....7L,1905.02340,thermal-components,bn081224887,1,N
Li_2020_2020ApJ894100L.pdf,2020ApJ...894..100L,1908.09240,thermal-components,bn081224887,1,N
Hakkila_2014_2014ApJ78388H.pdf,2014ApJ...783...88H,1401.4047,pulse-shape-hakkila-lineage,bn081224887,1,N
Ackermann_2013_2013ApJS20911A.pdf,2013ApJS..209...11A,1303.2908,lat-catalog,bn081224887,1,N
(no pdf),2012A&A...547A..95L,,lat-upper-limits,bn081224887,1,N
Hurley_2013_2013ApJS20739H.pdf,2013ApJS..207...39H,1301.3522,ipn-catalog,bn081224887,1,N
Shao_2017_2017ApJ844126S.pdf,2017ApJ...844..126S,1610.07191,spectral-lag,bn081224887,1,N
Li_2021_2021ApJS25343L.pdf,2021ApJS..253...43L,2101.04325,high-latitude-curvature,bn081224887,1,N
Maraventano_2025_2025AA697A161M.pdf,2025A&A...697A.161M,2503.17216,spectral-lag,bn081224887,1,N
(no pdf),2017PASJ...69R...2Y,,suzaku-wam,bn081224887,1,N
(no pdf),2012PASJ...64...26T,,fred-decay-spectral-evolution,bn081224887,1,N
Zhang_2011_2011ApJ72690Z.pdf,2011ApJ...726...90Z,1011.1197,icmart-two-timescale,project37,1,N
