# trigger	model_family	output_label
bn081224887	default	default
bn081224887	shape	shape
bn081224887	highe	highe
bn081224887	threecomp	threecomp
bn081224887	highe	highe_retry
bn090530760	default	default
bn090530760	shape	shape
bn090530760	highe	highe
bn090530760	threecomp	threecomp
bn090620400	default	default
bn090620400	shape	shape
bn090620400	highe	highe
bn090620400	threecomp	threecomp
bn090719063	default	default
bn090719063	shape	shape
bn090719063	highe	highe
bn090719063	threecomp	threecomp
bn090804940	default	default
bn090804940	shape	shape
bn090804940	highe	highe
bn090804940	threecomp	threecomp
bn090809978	default	default
bn090809978	shape	shape
bn090809978	highe	highe
bn090809978	threecomp	threecomp
bn090829672	default	default
bn090829672	shape	shape
bn090829672	highe	highe
bn090829672	threecomp	threecomp
bn091209001	default	default
bn091209001	shape	shape
bn091209001	highe	highe
bn091209001	threecomp	threecomp
bn100122616	default	default
bn100122616	shape	shape
bn100122616	highe	highe
bn100122616	threecomp	threecomp
bn100130729	default	default
bn100130729	shape	shape
bn100130729	highe	highe
bn100130729	threecomp	threecomp
bn100612726	default	default
bn100612726	shape	shape
bn100612726	highe	highe
bn100612726	threecomp	threecomp
bn100614498	default	default
bn100614498	shape	shape
bn100614498	highe	highe
bn100614498	threecomp	threecomp
bn100707032	default	default
bn100707032	shape	shape
bn100707032	highe	highe
bn100707032	threecomp	threecomp
bn101126198	default	default
bn101126198	shape	shape
bn101126198	highe	highe
bn101126198	threecomp	threecomp
bn101225377	default	default
bn101225377	shape	shape
bn101225377	highe	highe
bn101225377	threecomp	threecomp
bn110605183	default	default
bn110605183	shape	shape
bn110605183	highe	highe
bn110605183	threecomp	threecomp
bn110618366	default	default
bn110618366	shape	shape
bn110618366	highe	highe
bn110618366	threecomp	threecomp
bn110721200	default	default
bn110721200	shape	shape
bn110721200	highe	highe
bn110721200	threecomp	threecomp
bn110920546	default	default
bn110920546	shape	shape
bn110920546	highe	highe
bn110920546	threecomp	threecomp
bn110928180	default	default
bn110928180	shape	shape
bn110928180	highe	highe
bn110928180	threecomp	threecomp
bn081224887	shape	shape_retry
bn081224887	threecomp	threecomp_retry
bn090530760	threecomp	threecomp_retry
bn090620400	highe	highe_retry
bn090620400	threecomp	threecomp_retry
bn090719063	shape	shape_retry
bn090719063	highe	highe_retry
bn090804940	highe	highe_retry
bn090809978	highe	highe_retry
bn090809978	threecomp	threecomp_retry
bn091209001	highe	highe_retry
bn100122616	highe	highe_retry
bn100122616	threecomp	threecomp_retry
bn100614498	highe	highe_retry
bn100614498	threecomp	threecomp_retry
bn100707032	highe	highe_retry
bn110605183	threecomp	threecomp_retry
bn110928180	highe	highe_retry
bn110928180	threecomp	threecomp_retry
