trigger,n_blocks,n_sig20,pass_ge5,median_sig,max_sig
bn130427324,260,224,YES,41.61759607120459,333.22678200520755
bn160625945,228,173,YES,37.381505950233276,119.09711605113196
bn230812790,108,91,YES,40.85903480856447,170.47527090012426
bn180728728,78,57,YES,35.609925627736686,99.18251058591746
bn090829672,80,54,YES,26.639427830248444,78.62390005900161
bn201016019,63,48,YES,32.37142283115918,117.87341002527276
bn250313607,114,47,YES,17.6425274402805,55.76028509716677
bn150213001,51,43,YES,34.36368323326852,83.92074827489023
bn130518580,66,39,YES,22.890259472258176,54.7540457222898
bn160910722,76,39,YES,20.429015127195484,84.76552793909825
bn200826923,51,37,YES,32.98277580406118,101.44622119372619
bn150902733,57,36,YES,25.831521656201822,54.907051065015224
bn231020790,48,32,YES,25.62185850414696,94.84745179448524
bn110721200,44,31,YES,23.483413657999407,51.04128232169535
bn240403498,60,31,YES,20.48771139597789,48.54602619458208
bn171210493,44,30,YES,26.566375376130857,69.77150670935234
bn101126198,40,26,YES,25.672689470028587,53.537425119284606
bn120919309,40,24,YES,21.742054980144665,31.41169826782461
bn241223506,36,24,YES,25.047065832407107,80.81689346259408
bn100707032,28,22,YES,36.78291721569532,57.55511611031003
bn110920546,55,20,YES,16.753617368682075,66.85502900542258
bn150202999,76,20,YES,11.43413508460443,35.82314785598184
bn210714331,30,19,YES,24.879701366259873,59.994228595462495
bn250702413,36,18,YES,19.867369837050525,33.76139279254298
bn251016999,50,18,YES,17.060325352221568,63.38499437631638
bn090719063,24,17,YES,30.883685953228365,62.19375455939653
bn170921168,24,17,YES,28.595758860024254,102.81624352889426
bn180720213,36,16,YES,18.59035287442712,46.71591006855468
bn191125206,28,16,YES,22.92425674508192,73.63887232796884
bn201105230,27,16,YES,22.85176177128491,58.58910294040382
bn090620400,32,15,YES,18.005804708674635,28.31205740504916
bn100122616,30,14,YES,17.655858184669547,64.0290084898349
bn120119170,24,14,YES,22.35439482918588,42.096150563251236
bn120624933,40,14,YES,15.79799995621129,38.640348021547474
bn250902062,27,14,YES,20.32703765022015,67.52350987362043
bn081224887,40,13,YES,13.115643830686105,55.53068090510491
bn090809978,30,13,YES,14.871790568777795,39.70881795470835
bn150721242,24,13,YES,22.64549001377559,54.75539222183552
bn210524208,34,13,YES,18.806966509250962,33.78989131082285
bn230409626,30,12,YES,18.20940030264383,30.3297186380249
bn240204630,24,12,YES,18.99016256656173,56.76380816805804
bn090530760,16,11,YES,21.8460523391267,56.91422408849192
bn090804940,27,11,YES,17.09659114714537,52.228079110959676
bn181212693,30,11,YES,15.560415733286957,56.026088699973265
bn190401139,32,10,YES,16.410329460677744,50.54143567548967
bn221209243,22,10,YES,18.466270821245953,56.876061131786
bn130310840,18,9,YES,19.985280173509537,38.2173802402316
