trigger,t90,fluence,brightest_nai,has_lat,n_bins,grade,preferred_model,n_bb_decisive,n_twobreak_decisive
bn081125496,9.28,1.8544e-05,na,False,8,Silver,Band+BB,5,1
bn081222204,18.88,1.1887e-05,n0,False,7,Silver,Band,3,0
bn081224887,16.448,3.7571e-05,n6,True,10,Gold,SBPL,3,0
bn090530760,157.699,6.1037e-05,n1,False,8,Silver,Band,3,0
bn090620400,13.568,1.3263e-05,n6,False,8,Silver,Band,6,0
bn090719063,11.392,4.6848e-05,n7,False,12,Gold,CPL+BB,2,0
bn090804940,5.568,1.4426e-05,n3,False,9,Silver,CPL+BB,0,0
bn090809978,11.008,2.1629e-05,n3,False,10,Gold,CPL,0,0
bn090829672,67.585,7.6637e-05,n0,False,20,Gold,Band+BB,0,0
bn091209001,42.945,1.0032e-05,n4,False,5,Silver,Band+BB,4,0
bn100122616,22.529,1.2003e-05,n6,False,10,Gold,Band,2,0
bn100130729,99.586,1.0148e-05,n0,False,4,Bronze,CPL,0,0
bn100612726,8.576,1.3631e-05,n3,False,7,Silver,CPL,2,1
bn100614498,172.291,1.9632e-05,n6,False,2,Bronze,Band+BB,2,0
bn100707032,81.793,8.772e-05,n7,False,14,Gold,SBPL,10,1
bn101126198,43.837,3.1012e-05,n6,False,10,Gold,Band+BB,5,0
bn101225377,81.218,2.0164e-05,n7,False,3,Bronze,CPL,0,0
bn110605183,82.689,1.9252e-05,n1,False,3,Bronze,Band+BB,3,0
bn110618366,163.843,6.2375e-05,n2,False,5,Silver,CPL+BB,0,0
bn110721200,21.822,3.7042e-05,n6,True,11,Gold,DSBPL,5,4
bn110920546,160.771,0.00017233,n0,False,11,Gold,Band+BB,7,2
bn110928180,148.226,1.415e-05,n0,False,4,Bronze,CPL+BB,0,0
bn111009282,20.736,1.2033e-05,n0,False,9,Silver,CPL,0,0
bn111017657,11.072,2.071e-05,n6,False,11,Gold,CPL,0,0
bn120102095,28.416,1.3408e-05,n3,False,6,Silver,SBPL,1,0
