trigger,gcn_page,n_circulars,z_mention,ads_hits,ads_refereed
bn081222204,base,17,Y,34,16
bn081224887,base,4,-,23,18
bn090530760,RESOLVED_090530B,2,N,26_CONTAMINATED_BY_A,7
bn090620400,"base,A",2,-,7,4
bn090719063,"base,A",4,-,16,11
bn090804940,NONE,0,-,5,4
bn090809978,"base,B",12,Y,26,13
bn090829672,"base,A",5,-,7,4
bn091209001,NONE,0,-,1,1
bn180703876,results/gcn/bn180703876/,,-,,8
bn180720213,results/gcn/bn180720213/,,-,,3
bn180724807,results/gcn/bn180724807/,,-,,0
bn181212693,results/gcn/bn181212693/,,-,,1
bn190222537,results/gcn/bn190222537/,,-,,2
bn190401139,results/gcn/bn190401139/,1,-,,2
bn190726642,results/gcn/bn190726642/,,-,,0
bn191017391,results/gcn/bn191017391/,,-,,0
bn191125206,results/gcn/bn191125206/,,-,,1
bn191129141,results/gcn/bn191129141/,,none (no optical/NIR spectroscopy exists; GBM-only localization),,0
bn200524211,base,28,Y,34,6
