trigger,name,T90,fluence,has_lat,reference_nai,nai_dets,bgo_det,lle,n_bins,source_t1,source_t2,bkg_pre_start,bkg_pre_stop,bkg_post_start,bkg_post_stop
bn081125496,GRB081125496,9.28,1.8544e-05,False,na,na,b1,False,8,-0.27,10.74,-23.96,-19.99,50.39,130.39
bn081222204,GRB081222204,18.88,1.1887e-05,False,n0,n1|n0|n2,b0,False,7,-0.01,14.32,-30.87,-18.46,58.58,138.58
bn081224887,GRB081224887,16.45,3.7571e-05,True,n6,n0|n9|n6|n1,b1|b0,True,10,-0.14,18.29,-26.23,-19.22,51.42,131.42
bn090530760,GRB090530760,157.7,6.1037e-05,False,n5,n5,b0,False,8,0.76,100.08,-29.77,-15.0,119.0,199.0
bn090620400,GRB090620400,13.57,1.3263e-05,False,n6,n7|n6|nb|n8,b1,False,8,-0.01,13.3,-32.65,-17.94,52.7,132.7
bn090719063,GRB090719063,11.39,4.6848e-05,False,n7,n8|n7,b1,False,12,-0.14,20.47,-29.51,-16.92,52.44,132.44
bn090804940,GRB090804940,5.57,1.4426e-05,False,n3,n5|n4|n3,b0,False,9,-0.14,10.23,-31.02,-20.76,49.88,129.88
bn090809978,GRB090809978,11.01,2.1629e-05,False,n3,n4|n3|n5,b0,False,10,-1.87,14.84,-24.76,-19.48,51.16,131.16
bn090829672,GRB090829672,67.58,7.6637e-05,False,n9,n9|n6|na,b1,False,20,-7.76,145.46,-23.53,-7.45,213.46,293.46
bn091209001,GRB091209001,42.95,1.0032e-05,False,n4,n4,b0,False,5,-5.2,26.61,-30.11,-25.37,123.35,203.35
bn100122616,GRB100122616,22.53,1.2003e-05,False,n6,n9|na|n6,b1,False,10,18.8,32.82,-25.95,-3.35,84.7,164.7
bn100130729,GRB100130729,99.59,1.0148e-05,False,n3,n3|n4|n6,b0|b1,False,4,62.26,80.76,-32.28,47.72,181.72,261.72
bn100612726,GRB100612726,8.58,1.3631e-05,False,n3,n4|n8|n3,b0|b1,False,7,-0.27,14.84,-31.46,-18.71,51.67,131.67
bn100614498,GRB100614498,172.29,1.9632e-05,False,n6,n9|nb|n6|n7,b1,False,2,-14.21,2.62,-24.4,-24.4,104.92,184.92
bn100707032,GRB100707032,81.79,8.772e-05,False,n7,n8|n7,b1,False,14,-0.01,44.02,-24.41,-22.55,203.74,283.74
bn101126198,GRB101126198,43.84,3.1012e-05,False,n6,n7|nb|n8|n6,b1,False,10,-3.72,44.6,-30.51,-23.83,125.91,205.91
bn101225377,GRB101225377,81.22,2.0164e-05,False,nb,nb|n8,b1,False,3,77.24,102.0,-27.8,19.69,282.07,300.29
bn110605183,GRB110605183,82.69,1.9252e-05,False,n2,n2|n5,b0,False,3,0.12,24.37,-30.66,-29.46,209.88,289.88
bn110618366,GRB110618366,163.84,6.2375e-05,False,n2,n2,b0,False,5,-4.81,60.28,-86.81,-6.81,127.19,207.19
bn110721200,GRB110721200,21.82,3.7042e-05,True,n6,n9|n6|n7|nb,b1,True,11,-0.01,23.6,-33.97,-21.27,63.45,143.45
bn110920546,GRB110920546,160.77,0.00017233,False,n0,n6|n0|n3|n7|n1,b0|b1,False,11,1.01,106.36,-19.54,-14.49,119.51,199.51
bn110928180,GRB110928180,148.23,1.415e-05,False,n0,n3|n0|n6,b0|b1,False,4,1.4,24.76,-98.33,-18.33,115.67,195.67
bn111009282,GRB111009282,20.74,1.2033e-05,False,n0,n1|n0,b0,False,9,-0.4,18.16,-27.88,-15.9,66.01,146.01
bn111017657,GRB111017657,11.07,2.071e-05,False,n6,n7|n6|n9,b1,False,11,-2.64,16.44,-32.26,-17.18,53.46,133.46
bn120102095,GRB120102095,28.42,1.3408e-05,False,n3,n4|n5|n3,b0,False,6,-0.14,11.12,-30.08,-23.32,82.39,162.39
bn120119170,GRB120119170,55.3,3.8673e-05,False,n9,nb|n9,b1,False,12,-2.38,50.48,-32.21,-29.72,154.07,234.07
bn120130938,GRB120130938,38.91,1.0413e-05,False,n0,n9|n0|n1|na,b1|b0,False,3,-3.4,21.3,-28.11,-25.37,111.58,191.58
bn120420858,GRB120420858,254.91,4.3252e-05,True,n4,n8|n4,b1|b0,False,2,-1.16,18.04,-104.47,-24.47,109.53,189.53
bn120624933,GRB120624933,271.36,0.00019164,True,n2,n2|n1|na,b0|b1,True,10,0.05,26.23,-29.57,-15.26,118.74,198.74
bn120905657,GRB120905657,195.59,1.9567e-05,False,n9,n9|nb|na,b1,False,3,0.49,119.4,-94.49,-14.49,119.51,199.51
bn120919309,GRB120919309,21.25,1.678e-05,False,n0,n1|n5|n2|n0,b0,False,10,-0.14,13.94,-33.11,-20.76,63.45,143.45
bn130215063,GRB130215063,143.75,1.8583e-05,False,n2,n2|na,b0|b1,False,3,-0.14,25.97,-99.86,-19.86,114.14,194.14
bn130310840,GRB130310840,16.0,1.1295e-05,True,n9,na|n9|nb,b1,True,6,4.08,6.26,-91.54,-11.54,44.76,124.76
bn130427324,GRB130427324,138.24,0.002462,True,n9,n9|na|n0,b1|b0,False,65,-0.01,40.31,-98.07,-18.07,115.93,195.93
bn130518580,GRB130518580,48.58,9.4591e-05,True,n3,n3|n6|n7,b0|b1,True,22,-3.66,52.28,-83.35,-3.35,104.41,184.41
bn131113483,GRB131113483,60.55,2.3036e-05,False,n1,n2|n1,b0,False,5,5.04,45.68,-86.68,-6.68,178.14,258.14
bn140608153,GRB140608153,71.68,1.2302e-05,False,n0,n9|na|n1|n0,b1|b0,False,3,1.97,42.04,-110.49,-30.49,185.56,265.56
bn150202999,GRB150202999,167.43,3.2522e-05,True,n0,n0|n1|n6|n3,b0|b1,True,19,-3.02,19.32,-98.58,-18.58,115.42,195.42
bn150213001,GRB150213001,4.1,2.8758e-05,False,n8,n8|n7,b1,False,17,-0.01,8.82,-90.52,-10.52,27.86,107.86
bn150306993,GRB150306993,18.94,2.7014e-05,False,n4,n4,b0,False,9,-0.4,26.93,-94.62,-14.62,50.39,130.39
bn150630223,GRB150630223,22.78,1.0775e-05,False,n4,n4,b0,False,9,-0.65,22.9,-91.03,-11.03,43.99,123.99
bn150721242,GRB150721242,18.43,1.594e-05,False,n6,n7|n8|n6,b1,False,8,-0.4,27.25,-89.5,-9.5,49.88,129.88
bn150902733,GRB150902733,13.57,8.3192e-05,True,n0,n3|n0|n1,b0,True,19,-0.01,26.48,-88.22,-8.22,44.25,124.25
bn151006413,GRB151006413,93.44,1.2235e-05,True,n0,n0|n3|n1|n6,b0|b1,True,5,-0.65,31.41,-100.63,-20.63,113.37,193.37
